"","centroid","new_type","new_class","source","origin"
"1","orfs-translated_CM001015.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"2","orfs-translated_DS985116.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"3","orfs-translated_ADUJ01000044.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"4","orfs-translated_AEGE01001515.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"5","orfs-translated_GL877878.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"6","orfs-translated_AGIQ01000002.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"7","orfs-translated_AFWY03000050.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"8","orfs-translated_AGQU01000007.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"9","orfs-translated_AGVE01000023.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"10","orfs-translated_AGSW01000176.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"11","orfs-translated_AGAQ01000111.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"12","orfs-translated_BAEH01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"13","orfs-translated_BAFC01000058.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"14","orfs-translated_FR845719.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"15","orfs-translated_AJFJ01000061.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"16","orfs-translated_AJFI01000097.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"17","orfs-translated_JH814708.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"18","orfs-translated_AJSZ01000270.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"19","orfs-translated_ALNP01000024.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"20","orfs-translated_ALNP01000035.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"21","orfs-translated_AMRA01000013.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
"22","orfs-translated_AKXV01000009.1_seq1_1@@@aac2p","aminoglycoside","aac2p","fargene","latent"
